,uid,forward_level,comment_level,like_level
41063,04d42b229a7843c17b3aa60fa18587ef,1.0,1.0,1.0
41195,5d445948d8e12b94a16d405dca8bb1a8,1.0,2.0,2.0
41513,9946867fb7e729d3d7b5693ebe4274cd,1.0,2.0,3.0
46985,2c90adbd87b526980c7882441d6c57c5,1.0,1.0,1.0
47042,708747892b92bf38c7c232cc1e5ce3b0,1.0,1.0,1.0
47665,fdf6066204a9de28e4ddd92b0744fcd6,1.0,1.0,1.0
48338,f0c9793d4f3673377225e1539143d309,1.0,1.0,2.0
48377,cf884f60c1e56f53532f51598e74fc7d,1.0,2.0,2.0
48640,fba5207003ea8f5d30b7e448ca648f6e,1.0,1.0,1.0
48850,5e0accb724040b282d3f1e159e59f3ba,1.0,1.0,1.0
48854,c3e1d1c689fed231c43920b255a3b327,1.0,1.0,1.0
48905,92cd2a6985d38d80d9d0e31af63df7a2,1.0,2.0,2.0
48982,8ecc11cb260150891301aa3c4c4caf2e,1.0,1.0,1.0
48992,f2c31ecf21ab64830a83fec5c2d06484,1.0,1.0,1.0
49224,87895006f0dd91863e6501c482c17199,1.0,1.0,1.0
49261,5e99ff5645b7f46ec62a76d1e05085a1,1.0,1.0,1.0
49465,a11e89e28434a61df717311a2c288c6a,2.0,2.0,3.0
49540,9bf024a6caba95e8d10d988c2656871c,1.0,1.0,1.0
49768,fb2b456982227210b0a5bbe021a966e3,1.0,1.0,1.0
49783,7511e346911dd7d1e38f11485abb25c5,1.0,1.0,1.0
61796,5113a9c738e42c711d580c2fa193f077,1.0,1.0,1.0
61803,3e61c298e33948cbd40b4bf160e1495b,1.0,1.0,1.0
61891,de2e1a224f8fdca7e294feb6754ff7f6,1.0,2.0,2.0
61949,ab94f6ef1cbb85717e2b9685fb47b676,1.0,1.0,1.0
61963,b6ac6266dc248823e9480429accc2a03,1.0,1.0,1.0
62011,a798520d72a0f7f9b42f5bc8397ac3bb,1.0,1.0,1.0
62024,4dd5580dae554658482e94bbb5e39566,1.0,1.0,2.0
62342,573a74594ba8fa5de5f448153975bbf3,1.0,2.0,1.0
62457,923ec7bb174ddaf47feff6577b877460,1.0,1.0,1.0
62627,5e1899782e3b6e73730b6efa10cffeb3,1.0,1.0,1.0
62666,26c2c166e9c19b68d3451467d4fccc97,1.0,1.0,1.0
62686,a91d955eb55921171386353d97f26e2c,1.0,1.0,2.0
63660,1e8590546bfe040b5dba8c8b4f8fc03e,1.0,1.0,1.0
63685,36a58fa61c3f342bc270e333b2f3235c,1.0,1.0,1.0
63693,9a15786f6aaaf779eb941d2eba4a8988,1.0,1.0,2.0
63906,c7c9db1b072790f2dbffc97b1c6c563b,1.0,1.0,1.0
64101,cc11478b633300d3e3f18b0bedeb2fb3,1.0,1.0,1.0
64173,25142383d6e0964c18ef86f27c5572d4,2.0,1.0,2.0
67392,3a19076b5f4c61a1f5525dbbd4899c03,1.0,1.0,1.0
68696,0faddeeabf8b2cfd75afc6ad9c1ba2da,1.0,1.0,1.0
85856,3841fcb8bdb3b5b4b8c4d94870b7bc1f,1.0,1.0,1.0
85931,92fadfe3830c9d363fe02de25a06c57b,1.0,1.0,1.0
86235,c35d635cd9d875e63fcaff8e4f1398a9,1.0,1.0,1.0
94110,f5d4c4b896640c872d605f6a28190f04,4.0,1.0,5.0
94426,bb458a336992d0c3389eb416d1231f99,1.0,1.0,1.0
94615,c4b747dca344890718884e10805be401,3.0,2.0,3.0
97635,8d7a583279d6d442dd675c21424a2ce3,1.0,1.0,1.0
99437,e9ffb38ff8a3c2dde380f2197fca3c91,1.0,1.0,1.0
99441,986fba709e35206b01371f5172025483,1.0,1.0,1.0
100184,485c0d465d608c94d5372d90a50ef21a,2.0,1.0,1.0
101350,06fb6ad865dca45a038508bf5f98e4e8,1.0,1.0,1.0
107803,8904c3b3222402c458797048e3cb7dd8,1.0,1.0,1.0
107828,d200e0c732e4ecc24c73da58b391a946,3.0,2.0,4.0
108718,c6d8dd4ec96e25a41fbb7535cd283a27,1.0,1.0,1.0
108747,1a0e9fcfa14210fa36e77d12bcb824d0,1.0,1.0,1.0
109642,e5aeef1c1729faa12fec0bdf7b9b67e5,1.0,2.0,2.0
109789,1876d5b82e48ec1b97cb37110897f748,1.0,2.0,1.0
109997,b31a0caa8e3ee8cbe23728fd8c1fdb5c,1.0,1.0,1.0
110093,0d0c6740d4fbdbaacbe6c0504ac1ef65,1.0,1.0,1.0
110119,08035a4aaa71233ca510b14fb8288ef3,2.0,3.0,4.0
110376,0220afe08e008b01ad36cc916df43ace,1.0,1.0,1.0
114946,aca17ae1bb2b3ef544ccbe027251ff1f,1.0,2.0,1.0
115104,9c9a445713e4d51a907cf98012592482,3.0,4.0,4.0
115205,03d24f7424f40c20a83e695267989624,1.0,1.0,1.0
115534,0ff57f8377cabdf7342dca10250f1404,1.0,1.0,1.0
115539,969518aaf266b0f04da4ba21da880b1c,2.0,3.0,3.0
116122,427f285aa1f4226a9b393628897b9dcf,1.0,1.0,1.0
116245,ac4e754e41c3f328f1bf18c7fc381511,5.0,4.0,6.0
118722,2b03e21e2f56ed6b3e78073bfce13c08,1.0,1.0,1.0
118815,24c7e328ba6fcee5a746af8a108f791c,1.0,1.0,1.0
118895,ed0732ba7c12aa879ec3901c5e0a8ca4,1.0,1.0,2.0
118921,a15ebfe6fe3ace6caddfb0f04c91e17e,1.0,2.0,2.0
119092,6798aacdd1d1ee0db205fa6a8a6ec099,1.0,1.0,1.0
119234,cfd3556e296b9296e65b092b5b430b5e,1.0,1.0,2.0
119354,7e1580aec30f4a3cff7005500a0faa67,1.0,1.0,1.0
126748,1ab08e6f4cf93d82d4176704abc77b40,1.0,2.0,2.0
126792,5a7715fe7dbb3add1185a5ea3ebadda9,1.0,1.0,1.0
127370,e02474b74219cb439f38fd6c5127d7c4,1.0,2.0,1.0
127384,ff6cc10e5fc6200e27efc1bd643d5b18,2.0,1.0,1.0
127430,e1654550a09ba7def674b77161ed3c0f,1.0,1.0,1.0
127603,2f6b03a7f0fd3cd9030ab05759a23319,1.0,3.0,2.0
127644,cdf8c3ef287c173fa1f24fbe634d9d57,1.0,1.0,2.0
127754,f75e458ef2136082fb3640b26b337698,1.0,2.0,1.0
127793,197d08decea570189ec6aaf30b39031a,1.0,1.0,1.0
127850,e271ea59147a41c375b1dec2c064970d,1.0,2.0,1.0
127975,b56cdbf866bd67ddba6a610434c44a37,1.0,1.0,1.0
128078,328b1f9eaf6b4101440d328d998f5a46,2.0,1.0,2.0
128748,7100d29a731317edf0305671d507c67c,4.0,3.0,3.0
128762,967e11d84b9a739c5242f7b53237f9eb,1.0,1.0,1.0
129162,566404c78324de6496478556990386db,1.0,1.0,1.0
129256,03e63ee2ca9b0b03b39a8834075085ca,1.0,1.0,1.0
129664,1b1a513b7e7773b2aecda81c52809044,1.0,1.0,2.0
129700,a9ee23c51e317873ca0656d46a157b93,1.0,1.0,1.0
129837,97d783c2d3353568b472103bc0463d04,4.0,3.0,3.0
132287,8abe46b26b32616f40768487026c6c9a,1.0,1.0,1.0
132295,79ce2d2950a63744ba826c2ed5f3d908,1.0,1.0,3.0
132508,7e5c068417b3163c9e5f5201d5b1298f,1.0,1.0,1.0
132553,54df6a4b1b82e8559dc2f7a111360429,1.0,1.0,1.0
132559,f379a1dcc6cb5cabcaa36e2f2339df29,1.0,2.0,1.0
133656,864a10718fe581c23ddbf9f9eece1ae7,1.0,1.0,1.0
133768,2a2e959b4fa757339c795a504e90640b,1.0,3.0,2.0
133891,78ee02a71af293fbd1acec354fdc695d,1.0,1.0,1.0
133905,279f6ebbcfaa70ae63ac6c0a88c5459f,1.0,1.0,1.0
135121,583633fe51d4bae2b66ed2e06dfefe0e,1.0,1.0,1.0
135159,7176d5c54969b7f33f0d8d66712ae7c8,1.0,1.0,1.0
137170,eb7a0f6cafe3298ea0b033d1b6f8c40b,1.0,1.0,1.0
137684,c1fb86bfaf154e0ce4cb5ecc736c5a8c,1.0,1.0,1.0
137765,56a5f173da0c8db9629a1f866286ce7f,1.0,1.0,1.0
137832,c7ded7fb91e310dc3dd293b77e43575d,1.0,1.0,1.0
138164,a63f24abb07f0d80e7e0a55da2ba82ca,1.0,1.0,1.0
138174,3a62b0a4b16a45ac6ee6ab8fb7a5748b,1.0,1.0,1.0
140273,bfe5f0e6b47a2d25a824b2581ac42f98,1.0,1.0,1.0
140583,1f84be2b8db3e19afdb6ba634041ceb3,1.0,1.0,1.0
140586,8589c5d1c6918970b7febf8db5521d67,1.0,1.0,1.0
140611,ca6529b1d9e3394c432635ff61229571,1.0,1.0,1.0
140645,2c41f21ae0c27bfaaca94881611a5808,1.0,1.0,1.0
140733,22930533277b5978f6d26126978d66b0,1.0,1.0,1.0
140922,91e8b38ac22d8541ecde4da881ec2bb4,3.0,2.0,3.0
140970,93eb8587b6dca4cda327378162af18ce,1.0,1.0,1.0
141048,e672682ba1fcdd31377cb080baf8ef03,1.0,1.0,1.0
141058,1141ef473bc006a0614cb6286a7c986e,1.0,1.0,1.0
141264,780f61daf11e1216ccf8e55c48622aab,2.0,1.0,1.0
141496,3ba5d1bbcb60a0a06250644f86180cd8,1.0,1.0,1.0
141529,d061ebd51ae1c8ddb349c76bd09e8da1,4.0,3.0,3.0
141854,b3a427205882d4e14a16ab87847f148f,1.0,1.0,1.0
141955,a8aa00156d2d6f920a7b0c75e3eaafbc,1.0,2.0,1.0
142190,9bb4a2212bc65bb70db813034b479040,2.0,4.0,4.0
143060,a17cf3d218cb7f3435850c310b4af01b,1.0,3.0,2.0
143127,0edf846929d93258448ee539b536d6e6,3.0,3.0,3.0
143261,2f67fe9111490b9f85caf76f7e2db910,2.0,3.0,2.0
143328,344e49c45335b6a3b88c299a03c8e861,1.0,1.0,1.0
143392,67c32298cb374689b27fc538b8b769f9,1.0,2.0,1.0
143439,114a0d20bd559925aebd75bf7fa8bbb0,1.0,1.0,1.0
143468,db36a9aa90f26c8dd1519a256b7a7480,1.0,2.0,2.0
143910,41bf229ac1859072b7b3ee3ca3a6bdc5,1.0,1.0,1.0
144096,9439a6f3279d20962b6e589bf57b056e,1.0,1.0,1.0
144303,93c5b1ae3a5807efbee32d5898d93fc1,1.0,1.0,1.0
144373,3804b522dcd2271044ea2c283e49e0b6,1.0,1.0,1.0
144403,c4110ea32135b16f7004d79a8e143f9f,2.0,2.0,2.0
144490,3280cadc7f978e6648ac1603ccd4faeb,1.0,1.0,1.0
144580,1d5c61ccf6088b49b42440e6ee0b2aaf,1.0,1.0,1.0
144669,3bc4c3617d488acb74fd28e517431c87,1.0,1.0,2.0
144780,717fcfb02acdd129954856331cbeb70f,1.0,1.0,1.0
145047,f14abc57f4f844c195284f5842370a32,1.0,1.0,2.0
148277,7bb50d8a318370eec9f8cd9ca14d3256,1.0,1.0,1.0
148284,d923d1c9665436914afb491fca6054e5,1.0,1.0,1.0
148300,916f3a5a0b5dd686bcee63b9efb34bcf,1.0,1.0,1.0
148400,c4552a1e4ba681a1869fdf870ad3e215,1.0,1.0,1.0
148456,7604bc339166a6b81505228a57341bd7,1.0,1.0,1.0
148524,c4d27bc477aed47168bf47b5c55d1d6b,1.0,1.0,1.0
148564,d2d9814a6082d1b3a47eb8d8d6f738a4,3.0,2.0,3.0
148689,a0f098148cb67f3e1ada3e8f198f2d05,1.0,1.0,1.0
148713,5c8b875eeddb07506b7ee9d409ff6d11,2.0,2.0,1.0
148716,28a1db03a92469960af266e4acac2a56,1.0,1.0,1.0
149895,36062e259ff5aaca83c8a035e2357496,1.0,1.0,1.0
149984,257827e62ce378642f5386ada361e332,1.0,1.0,1.0
150021,2d55156aef7ce5aaa38397d5e7b6f1fc,1.0,1.0,1.0
150104,28067fc6bbf98893b9ed2bfc8f494203,1.0,2.0,1.0
150235,c9a0ff77a888d16c6be4290e85079ac5,1.0,1.0,1.0
150264,cbb841ea2e3774ca1ace3f6547a44042,1.0,2.0,1.0
150295,a7af342f7958a0edb89921d13aadc6fa,1.0,1.0,1.0
150312,b2a945452f34cb65a30ad668d2640179,1.0,1.0,2.0
153229,a7573aee92f554dd0883231314c339b0,1.0,2.0,1.0
153719,dc15d9863327a637d940341d692f4c88,1.0,3.0,3.0
154802,1b946bb4732ce1ef349572f290696a9b,1.0,1.0,1.0
155228,74a6e76344956052caad51aa02d99de3,1.0,1.0,1.0
155258,760688060d27f1518014d93c34964c5d,1.0,1.0,1.0
155459,8fd622b8edc2ecd867b13659a03bb993,1.0,1.0,1.0
155595,31e82b71b062e33647c53e573cbb310f,1.0,1.0,1.0
155682,dc59cb025ec1c90891d6730c8f951cd1,2.0,1.0,2.0
156334,ed557d6055383ed7c8899e09d1f965fb,1.0,1.0,1.0
156362,6583877a9b1940c80763a38c8029e960,1.0,1.0,1.0
156375,a78aac6e061efe76681aa785ee753aeb,1.0,1.0,1.0
156406,9dfdf0e2fcb2a07185f68eaf6e60a4c2,3.0,3.0,3.0
156708,94863c8491664f0f194ae4b84439f82a,1.0,1.0,1.0
156831,c2b93b1d08006a2ebb8e1162ec9cf4d6,1.0,1.0,1.0
156906,daba5452a538993c4ea8f9f55a65e36c,1.0,1.0,1.0
157074,557c01d294e642bbca04bb90e09badb6,3.0,2.0,3.0
157857,866a852e50b3bfb83550ae2913fb563b,1.0,1.0,1.0
158847,45cb08307953fc9863f212f1f44dceff,1.0,1.0,1.0
159188,0ecbc91a828c7af56424fac306d57814,1.0,1.0,1.0
159224,7425cca33d2e61cd4ff7a796a2bf4514,1.0,1.0,1.0
159233,97ffc1cbd77e258fa71f8907ac0a795c,1.0,1.0,1.0
159252,22368785f7a90c2f04fdc6632a31c388,1.0,1.0,1.0
159347,d4f901509771538353fc0080ff6e2b65,1.0,1.0,1.0
160031,6ff447a6b2e2f4aaa076b24ab6bc7aed,1.0,2.0,2.0
160262,30e40b6ddf0a85667d3c0e7c9eab9abb,3.0,3.0,4.0
160454,2550f923f2e98b72899188116217d4b0,1.0,1.0,1.0
160655,b85fb0b2b686486c7561f448bef368ad,2.0,1.0,2.0
160731,e4c162dbbebab96461cde91cf370f7de,3.0,3.0,3.0
162285,770301c29d4b97d4fb903f6c5386267c,1.0,1.0,1.0
162329,b3181e1aebebb7308c480b20b3d5b371,1.0,1.0,1.0
162337,f20da4dd59ad0f505e6ace81b7bd74cc,1.0,1.0,1.0
162379,23d9957cb14988a445d03e28e324e077,1.0,1.0,1.0
162812,2f60265661d86aa5e0a3fd89c65df897,1.0,2.0,1.0
162819,0e8eaf38a82461dcc23b9190bc87d24a,1.0,2.0,1.0
163003,d4827983d09c92f0e392471679c7dea6,1.0,1.0,1.0
163155,cfddc3ae8a699d12630866ec6e6bf17c,1.0,1.0,1.0
163157,c5f845642aa4894689f5d9dfb477543c,1.0,1.0,1.0
163166,fa5b2cb537c795a11df608ddebcab2ab,1.0,1.0,1.0
163412,1f9fb01ee1f3320fa3f52c34ec7128a5,1.0,2.0,1.0
163442,dfabdcc1145ca6d0f545affa5a14f3b5,1.0,1.0,1.0
163657,6e78d88a847286aff61906dcb2a35bcf,1.0,1.0,1.0
164049,3e39b9073b8bba5665d81b131eaeaabc,1.0,1.0,1.0
164060,20593131b360e926b5a0b20de1d02f41,1.0,1.0,1.0
164138,ef80ed2a9ca336e8947c8e8e9e926d33,1.0,1.0,1.0
164149,ec1265155a2b5520fa9800a27613836a,1.0,1.0,1.0
164504,e456076503690bf765ef26f2b96a9abb,1.0,1.0,1.0
164510,82099cadded11885b3164276cc33d386,1.0,1.0,1.0
164586,fd122d25714c227089b6d22c3145c4f6,1.0,1.0,1.0
164642,347b2e78f99614669d2ec7618ab10c52,1.0,1.0,1.0
164670,a0016498715ecf1baabc80c9dac17245,1.0,1.0,1.0
164745,52c09d1257d9f20ea31e29a943a181cd,2.0,2.0,3.0
164850,07c39e5ef868bafca8b999c0704a8d08,2.0,3.0,3.0
164877,910fd0d64890961c2f41e3163bae99b8,1.0,2.0,3.0
164931,4fc62794d27e2a1cee132a8593ce5cf6,1.0,1.0,1.0
165184,26f52cc2a034e178e08339c7d4dca4d6,3.0,2.0,3.0
165806,01cae3b50ff5762a35d4ad14e2daa299,1.0,1.0,1.0
165898,d43f7557c303b84070b13aa4eeeb21d3,1.0,1.0,1.0
168030,b3ee91db30a3f3cd96ac02323aaaf27f,1.0,1.0,1.0
168677,cfac17beab2efed4af7a4179104128b2,3.0,3.0,4.0
170458,763079a535e598e69b19ac3761602526,1.0,1.0,1.0
170504,baaf257247e90eb4f1fea9094cd2957e,1.0,1.0,1.0
170682,70864e6344f13720bf4dbc7b5faecf8f,1.0,1.0,1.0
170704,7634e89faee952e49bfb983de1a6518c,1.0,1.0,1.0
175900,13af3ed274fad976fcf19347faae9012,1.0,1.0,1.0
175944,adfecb480ea828a237fedcc1e1e861e6,1.0,1.0,1.0
175976,cc24747daa0fec0280fb5de56507dfb9,1.0,1.0,1.0
176058,50140f4c2704537deed80a1131bda9bc,1.0,1.0,1.0
176104,4ac1338466f04f3ad989c69c4e2f23cb,1.0,2.0,2.0
176235,8eba3f35eb425c350b35c31cb88475e9,1.0,1.0,1.0
176237,5c9bc94ee44b0370f55f51d7dcae98d1,1.0,1.0,1.0
176368,f6c40e0268a4ef9d60623e84838a28a5,1.0,3.0,2.0
176394,71789cd361b261705050c505183d45e3,1.0,1.0,1.0
176629,c692da874d4e804c93670b5a74668185,1.0,1.0,2.0
176642,d32c0516a2f9fc84a576dd38aebd8bd8,1.0,1.0,1.0
176973,d41e04c5ee2d6e94622357045a9a2edd,1.0,2.0,3.0
177478,5f02d151539e6f8f385b72187f7c245f,1.0,1.0,1.0
177516,a3b13e7d0abe41829c5142e544d12752,1.0,1.0,1.0
177605,ada52f3d0cf531724c754f7f9a1966c0,1.0,1.0,1.0
177872,b2977eb7d1bd439dc06e9fd03bc2dbbc,1.0,1.0,1.0
177968,9ce4502056552b898da2119fb5d2b112,1.0,1.0,1.0
178411,5e666401d93147eea9823d48d124fd34,2.0,1.0,1.0
182816,20e55a0793d227aa9ad0fee2f1452543,1.0,1.0,1.0
182950,7d16aa12d22c4bb2c021d65c94ccefc0,1.0,1.0,2.0
183237,25ca1cea6595c04a5f009a11dd0e676b,1.0,1.0,1.0
186096,c64f5b926f74cd87fd2f41ecce996c23,1.0,1.0,1.0
186101,97d0d7443da64a52f41df5720a931425,1.0,3.0,2.0
186504,84712cd55b63dff8bcd90cafe7195d2f,1.0,1.0,1.0
186621,c3a6db40775e2d25eea6f30de0d93128,2.0,3.0,2.0
186648,c81b221a3685174609f6103298664800,1.0,1.0,1.0
186719,860060da129dff6e2bda9b9851546a45,1.0,1.0,1.0
186724,4ae4102beb28ad6658654e7709c01811,1.0,1.0,1.0
186738,4238b59711fe3e49fe054d06381f018b,2.0,1.0,1.0
186978,a1431384e7b0bd72facd494bb112155f,1.0,1.0,2.0
187104,050d07e848d97df5b0dc283e0c6d0d62,1.0,1.0,1.0
187127,66c71e5e22ae52ed21cb1c0ebfd64361,2.0,3.0,3.0
187348,7ed781adc25dc3027317200dcf2b5649,1.0,1.0,1.0
187391,12f23f78b9ec67d2b277cd3e6fd14abe,3.0,3.0,4.0
188732,3de59d050930d868b966875428b9de9d,1.0,1.0,1.0
188832,dfbb6da40f7e60d928cbc31f5f86df0c,1.0,1.0,1.0
188967,bfdcbe4e96b3344a84dba449f98fc16d,1.0,2.0,2.0
189002,a9826f7b1ce552499dfd2d835cc45607,1.0,1.0,1.0
189015,19f45f3ec029fb561c850ecb6e644f9d,1.0,1.0,1.0
191221,635e4d859983b271ab3d0298ef5cca25,4.0,5.0,5.0
191779,37ec55fe4324e5d0c6e9c3f68c8de69b,1.0,1.0,1.0
191798,06c785a79b65e70423ef1417a31dc330,1.0,2.0,1.0
191810,3d6e49da148f591bac4baa10c7f6edd9,2.0,3.0,3.0
193433,eadd23c9e531fe110b851a3c1c40b1db,3.0,2.0,3.0
194806,81cbd001aadf7f5c1b8013b8782b053a,2.0,2.0,2.0
194898,130d0ece36780d0a9e6136420be87bb3,1.0,1.0,1.0
194925,fff7d9e6a58934f7f40f23b67c4196b8,1.0,1.0,1.0
194942,447fb309710914e1ef72fbc6fb512625,1.0,1.0,1.0
195909,eca4103aa2fc9ec696f0e941ee34a928,1.0,1.0,1.0
196276,cbe3fbd06867779bdab61b5b8ae0e471,1.0,1.0,1.0
196772,912c03284040439bbb156d01b059bc92,2.0,2.0,2.0
197110,5a163f7711b730c71d87b60b813182bd,1.0,1.0,1.0
197224,4d750f13ff452dccad45625e66f02630,1.0,1.0,1.0
198056,4f2576fcc50224995579282d9b3afec7,1.0,1.0,1.0
198058,a2b5ed0a7b4a6c0f1d32b4b1b7517fe6,1.0,1.0,1.0
198502,8c025b4898c4300933bfc54f2c85e1ef,1.0,1.0,1.0
198509,c1db52262de248bc95cce9e774e52d0a,1.0,1.0,1.0
198613,c9e55c734d753eccc47355df1665239d,1.0,1.0,1.0
199666,d161f00e5c16c1e9a081382680a481ff,1.0,1.0,1.0
199693,9846028781b8c4e8510577235169fb3d,1.0,3.0,2.0
199970,d03f0559b64c826b2f99c8149ba1bdd6,1.0,1.0,1.0
200108,7c074e805ce31948c39178b9993e99a5,1.0,1.0,1.0
205010,4f0f3640886efaef63ea9521b46c0d48,1.0,1.0,1.0
205233,7b860f821e2c70ad5aa6fd9f58418f5f,1.0,1.0,1.0
205314,532668422a7bbfbad65d50d2e912131e,1.0,1.0,1.0
205330,de5ceb8a7e405aeffdfe2ca803cbb094,1.0,1.0,1.0
205354,070ab3aea24361773080f1f1ba65097b,1.0,1.0,1.0
205480,54aafd162beafd99f856aef23240cf92,1.0,2.0,1.0
205519,92cf41b89ec916118c15ab2705a0515e,1.0,1.0,1.0
205686,614eaf6eb19ff68da2df2db228452bf5,1.0,1.0,1.0
205999,b2105bb57c7f647a086f4a0801b94b96,4.0,3.0,3.0
206170,df88eeafc9820b17868c8236fb633644,1.0,2.0,2.0
206178,42892a742c19f2e02453db002bd56860,1.0,1.0,1.0
206212,baf6a8fc31762f51995735127de30c20,1.0,1.0,1.0
206678,a699f4a91c6033e8716eb4cae21def77,2.0,2.0,2.0
208281,5c0abada50a17ff3f71b623def5ecabe,1.0,1.0,1.0
208573,a0e2a391c9d5ba92ce481d342b6a14f7,1.0,1.0,1.0
208828,ddbad43fd7dbd353390ac5c839169363,1.0,1.0,1.0
208836,46d58d2d195bc9cd94b6b1182b8f3b8a,1.0,1.0,1.0
208928,23192fbbab8c4b9f84a00243c4857fbb,2.0,2.0,3.0
209058,09a8612f6665a8db4b29053b0374ac2f,1.0,1.0,1.0
209210,f795278b7a0d365a725aa5b0e816729d,1.0,2.0,1.0
209785,28920d3223f698d108ea6bda9190ecf6,1.0,2.0,1.0
209916,ea8ca277d570ba687caf5e74e31a9387,1.0,1.0,1.0
210053,9090847508a6380bdb9945f0fdb66981,1.0,1.0,1.0
210111,ce83ea034706609d6587535f82eaca8d,1.0,1.0,1.0
210124,e2dcc6a6a51c342e0f97a1cdc4a208cf,1.0,1.0,1.0
210148,ea6c4b4fe8ea36f2bd6302d109c1c8e8,2.0,2.0,2.0
210329,a726e4c19a4a2b8599ddf36ec53f5168,1.0,1.0,1.0
210538,253742ae518e13eb888708377f91514d,1.0,1.0,1.0
210647,21b234ecd9109841c50ad115eec398d3,1.0,1.0,1.0
210886,71c3143a5441e9d6ced0d84b752fe00a,1.0,1.0,1.0
210991,8df9401d8bc69f9ec31a0990a9df8cae,1.0,2.0,1.0
211510,0e74a3d82511bb2097c5768314d9e56a,1.0,1.0,2.0
212106,b3481982c0d23b17371e4c08bcd80943,1.0,1.0,1.0
212188,8fe54dffb2d8562193b88ca89aa45ad6,1.0,1.0,1.0
212192,d8eb8d58b639fd56df8223cc9d521b74,1.0,1.0,1.0
212373,57e09eb5d3f7006da66b60b3ae7efc00,2.0,2.0,3.0
212513,d4f483b4a9b5f69f34f29eb1183c14ad,1.0,1.0,1.0
212520,b1083a5d05ccfdcae5a49f5dab0854ac,1.0,2.0,1.0
212588,a3fb1ccde551fd04f83eb30802ed4232,1.0,2.0,2.0
212691,2f1c2274aba1fcf937f0e227bee67e2e,1.0,1.0,1.0
213268,9e3395e8ec70069ae0ac65401b6d2742,1.0,1.0,1.0
213284,8d7fc90fa0a166cb74cbb44a502289fd,1.0,1.0,1.0
213311,da21d17e19093a448ea330b4b8369669,1.0,1.0,1.0
213376,17e09790fdbf8fa8cca31c839cdf160e,3.0,3.0,2.0
213450,ada13027508c5e5e49f8828dd49570ea,1.0,1.0,1.0
213658,48850661fcf379cd6fb1f84390e51ab5,1.0,1.0,1.0
213701,16dbb777f73e148ae457db61a8fe3fe3,1.0,1.0,1.0
213977,b6c9f2e19a5be676f5cedf8b07f51b3b,1.0,1.0,1.0
213982,5b3e26e9d0b8daeeb4c19ff5f86c8f2f,1.0,2.0,1.0
214002,7a1b0d83f0f3652acb37eda11f6e892e,1.0,1.0,1.0
214258,0349758450c3108c35de40ac2ad8dc67,2.0,3.0,2.0
214751,487a3c5cd46080b4e7895197535bd918,1.0,1.0,1.0
215005,c2b713c9d9506acc3c5330b75e25eb2b,1.0,2.0,2.0
215085,80fd88e37e05639089270b8d9d47cb11,3.0,2.0,4.0
